journal_id,journal_line_id,period,posting_date,source_system,source_doc_id,batch_id,company_code,branch_id,biz_line_id,account_code,account_name,dr_cr,amount,currency,description,posting_status
JV0000001,JV0000001-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000001,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,1122,应收账款,DR,7958745.85,CNY,经纪佣金收入应收确认,POSTED
JV0000001,JV0000001-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000001,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,6021,手续费及佣金收入,CR,7958745.85,CNY,经纪佣金收入入账,POSTED
JV0000002,JV0000002-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000002,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,1122,应收账款,DR,14558864.89,CNY,经纪佣金收入应收确认,POSTED
JV0000002,JV0000002-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000002,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,6021,手续费及佣金收入,CR,14558864.89,CNY,经纪佣金收入入账,POSTED
JV0000003,JV0000003-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000003,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,1122,应收账款,DR,3959678.99,CNY,经纪佣金收入应收确认,POSTED
JV0000003,JV0000003-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000003,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,6021,手续费及佣金收入,CR,3959678.99,CNY,经纪佣金收入入账,POSTED
JV0000004,JV0000004-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000004,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,1122,应收账款,DR,13245784.38,CNY,经纪佣金收入应收确认,POSTED
JV0000004,JV0000004-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000004,COMM_202501_B001,CJSC_SYNTH,B001,BROKERAGE,6021,手续费及佣金收入,CR,13245784.38,CNY,经纪佣金收入入账,POSTED
JV0000005,JV0000005-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000005,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,1122,应收账款,DR,927625.17,CNY,经纪佣金收入应收确认,POSTED
JV0000005,JV0000005-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000005,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,6021,手续费及佣金收入,CR,927625.17,CNY,经纪佣金收入入账,POSTED
JV0000006,JV0000006-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000006,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,1122,应收账款,DR,1665570.43,CNY,经纪佣金收入应收确认,POSTED
JV0000006,JV0000006-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000006,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,6021,手续费及佣金收入,CR,1665570.43,CNY,经纪佣金收入入账,POSTED
JV0000007,JV0000007-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000007,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,1122,应收账款,DR,24361825.74,CNY,经纪佣金收入应收确认,POSTED
JV0000007,JV0000007-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000007,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,6021,手续费及佣金收入,CR,24361825.74,CNY,经纪佣金收入入账,POSTED
JV0000008,JV0000008-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000008,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,1122,应收账款,DR,22698821.3,CNY,经纪佣金收入应收确认,POSTED
JV0000008,JV0000008-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000008,COMM_202501_B002,CJSC_SYNTH,B002,BROKERAGE,6021,手续费及佣金收入,CR,22698821.3,CNY,经纪佣金收入入账,POSTED
JV0000009,JV0000009-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000009,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,1122,应收账款,DR,2964867.43,CNY,经纪佣金收入应收确认,POSTED
JV0000009,JV0000009-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000009,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,6021,手续费及佣金收入,CR,2964867.43,CNY,经纪佣金收入入账,POSTED
JV0000010,JV0000010-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000010,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,1122,应收账款,DR,1586313.48,CNY,经纪佣金收入应收确认,POSTED
JV0000010,JV0000010-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000010,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,6021,手续费及佣金收入,CR,1586313.48,CNY,经纪佣金收入入账,POSTED
JV0000011,JV0000011-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000011,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,1122,应收账款,DR,25451597.94,CNY,经纪佣金收入应收确认,POSTED
JV0000011,JV0000011-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000011,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,6021,手续费及佣金收入,CR,25451597.94,CNY,经纪佣金收入入账,POSTED
JV0000012,JV0000012-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000012,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,1122,应收账款,DR,2272218.85,CNY,经纪佣金收入应收确认,POSTED
JV0000012,JV0000012-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000012,COMM_202501_B003,CJSC_SYNTH,B003,BROKERAGE,6021,手续费及佣金收入,CR,2272218.85,CNY,经纪佣金收入入账,POSTED
JV0000013,JV0000013-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000013,COMM_202501_B004,CJSC_SYNTH,B004,BROKERAGE,1122,应收账款,DR,8866889.85,CNY,经纪佣金收入应收确认,POSTED
JV0000013,JV0000013-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000013,COMM_202501_B004,CJSC_SYNTH,B004,BROKERAGE,6021,手续费及佣金收入,CR,8866889.85,CNY,经纪佣金收入入账,POSTED
JV0000014,JV0000014-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000014,COMM_202501_B004,CJSC_SYNTH,B004,BROKERAGE,1122,应收账款,DR,5287708.28,CNY,经纪佣金收入应收确认,POSTED
JV0000014,JV0000014-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000014,COMM_202501_B004,CJSC_SYNTH,B004,BROKERAGE,6021,手续费及佣金收入,CR,5287708.28,CNY,经纪佣金收入入账,POSTED
JV0000015,JV0000015-001,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000015,COMM_202501_B004,CJSC_SYNTH,B004,BROKERAGE,1122,应收账款,DR,8495493.72,CNY,经纪佣金收入应收确认,POSTED
JV0000015,JV0000015-002,2025-01,2025-01-28,REVENUE_SUBLEDGER,SL0000015,COMM_202501_B004,CJSC_SYNTH,B004,BROKERAGE,6021,手续费及佣金收入,CR,8495493.72,CNY,经纪佣金收入入账,POSTED
